"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","1,155.95","1,160.33","1,165.34","1,155.95","4.77B","-0.38%"
"12/29/2022","1,160.32","1,152.77","1,160.41","1,145.07","5.72B","0.66%"
"12/28/2022","1,152.77","1,161.60","1,164.13","1,149.18","3.90B","-0.76%"
"12/27/2022","1,161.59","1,153.75","1,163.45","1,153.71","4.73B","0.68%"
"12/26/2022","1,153.74","1,154.42","1,159.32","1,149.78","3.31B","-0.06%"
"12/23/2022","1,154.41","1,161.99","1,161.99","1,152.66","3.19B","-0.65%"
"12/22/2022","1,162.00","1,160.85","1,165.58","1,159.53","3.70B","0.10%"
"12/21/2022","1,160.84","1,159.30","1,163.51","1,154.45","5.08B","0.13%"
"12/20/2022","1,159.30","1,168.73","1,168.91","1,157.19","5.92B","-0.81%"
"12/19/2022","1,168.73","1,175.56","1,177.47","1,163.06","4.39B","-0.58%"
"12/16/2022","1,175.57","1,167.47","1,175.57","1,155.85","6.70B","0.69%"
"12/15/2022","1,167.47","1,177.01","1,177.02","1,164.96","5.67B","-0.81%"
"12/14/2022","1,177.00","1,178.69","1,187.32","1,171.82","11.49B","-0.14%"
"12/13/2022","1,178.69","1,162.40","1,182.31","1,157.92","29.39B","1.40%"
"12/12/2022","1,162.39","1,157.26","1,162.39","1,145.42","2.75B","0.44%"
"12/09/2022","1,157.26","1,172.62","1,172.62","1,152.81","2.98B","-1.31%"
"12/08/2022","1,172.62","1,175.92","1,176.40","1,152.26","4.07B","-0.28%"
"12/07/2022","1,175.91","1,192.82","1,192.85","1,173.63","3.65B","-1.42%"
"12/06/2022","1,192.82","1,216.26","1,216.26","1,186.78","3.76B","-1.93%"
"12/05/2022","1,216.25","1,230.42","1,230.42","1,216.25","3.84B","-1.15%"
"12/02/2022","1,230.42","1,237.25","1,237.54","1,224.33","3.36B","-0.55%"
"12/01/2022","1,237.25","1,249.43","1,250.99","1,237.13","4.30B","-0.98%"
"11/30/2022","1,249.46","1,237.77","1,251.47","1,234.25","10.68B","0.95%"
"11/29/2022","1,237.76","1,239.69","1,244.32","1,234.34","5.09B","-0.16%"
"11/28/2022","1,239.69","1,248.48","1,254.70","1,239.35","5.36B","-0.70%"
"11/25/2022","1,248.49","1,253.03","1,254.59","1,240.67","3.46B","-0.36%"
"11/24/2022","1,253.02","1,247.04","1,258.11","1,247.04","3.96B","0.48%"
"11/23/2022","1,247.03","1,245.51","1,256.01","1,244.49","3.95B","0.12%"
"11/22/2022","1,245.50","1,253.99","1,260.46","1,245.50","4.79B","-0.68%"
"11/21/2022","1,253.99","1,261.41","1,265.78","1,252.42","4.32B","-0.59%"
"11/18/2022","1,261.41","1,254.06","1,264.39","1,250.10","4.14B","0.59%"
"11/17/2022","1,254.05","1,253.26","1,257.52","1,241.48","4.07B","0.06%"
"11/16/2022","1,253.26","1,256.01","1,259.09","1,240.34","5.32B","-0.22%"
"11/15/2022","1,256.01","1,252.57","1,258.86","1,248.07","3.92B","0.28%"
"11/14/2022","1,252.57","1,266.87","1,270.12","1,251.19","4.64B","-1.13%"
"11/11/2022","1,266.87","1,240.44","1,271.75","1,240.44","7.76B","2.13%"
"11/10/2022","1,240.40","1,262.13","1,262.13","1,238.64","4.99B","-1.72%"
"11/09/2022","1,262.13","1,259.03","1,263.92","1,255.95","4.56B","0.25%"
"11/08/2022","1,259.04","1,270.53","1,272.48","1,256.59","4.07B","-0.90%"
"11/07/2022","1,270.52","1,258.51","1,270.52","1,251.47","4.98B","0.95%"
"11/04/2022","1,258.51","1,253.67","1,258.51","1,242.94","4.46B","0.39%"
"11/03/2022","1,253.67","1,251.32","1,258.28","1,239.33","5.33B","0.19%"
"11/02/2022","1,251.32","1,258.79","1,263.25","1,242.55","4.80B","-0.59%"
"11/01/2022","1,258.79","1,268.40","1,273.94","1,251.49","4.79B","-0.76%"
"10/31/2022","1,268.39","1,260.56","1,271.47","1,259.43","5.10B","0.62%"
"10/28/2022","1,260.56","1,267.13","1,268.64","1,252.20","4.62B","-0.52%"
"10/27/2022","1,267.13","1,257.44","1,269.95","1,257.44","6.41B","0.77%"
"10/26/2022","1,257.44","1,256.56","1,263.93","1,252.05","6.43B","0.07%"
"10/25/2022","1,256.55","1,257.66","1,269.18","1,253.25","6.05B","-0.09%"
"10/24/2022","1,257.65","1,251.54","1,266.22","1,251.45","5.71B","0.49%"
"10/21/2022","1,251.53","1,244.43","1,261.05","1,243.23","4.21B","0.57%"
"10/20/2022","1,244.43","1,220.53","1,245.94","1,217.57","5.84B","1.96%"
"10/19/2022","1,220.53","1,214.18","1,225.26","1,207.93","4.16B","0.52%"
"10/18/2022","1,214.18","1,214.51","1,226.10","1,209.75","5.05B","-0.03%"
"10/17/2022","1,214.50","1,208.82","1,216.49","1,195.68","5.46B","0.47%"
"10/14/2022","1,208.82","1,221.92","1,235.10","1,208.82","4.58B","-1.07%"
"10/13/2022","1,221.91","1,227.92","1,232.42","1,221.91","3.86B","-0.49%"
"10/12/2022","1,227.92","1,234.36","1,240.35","1,220.10","5.21B","-0.52%"
"10/11/2022","1,234.36","1,244.41","1,246.04","1,234.36","4.31B","-0.81%"
"10/10/2022","1,244.41","1,249.11","1,249.11","1,234.59","3.62B","-0.38%"
"10/07/2022","1,249.14","1,259.87","1,259.96","1,245.53","3.75B","-0.85%"
"10/06/2022","1,259.87","1,260.06","1,272.36","1,258.13","4.39B","-0.02%"
"10/05/2022","1,260.06","1,260.81","1,272.58","1,260.06","5.61B","-0.06%"
"10/04/2022","1,260.80","1,249.78","1,267.52","1,249.78","4.93B","0.88%"
