No.;Kode;Nama Saham;Keterangan
1;AALI;Astra Agro Lestari Tbk.;Tetap
2;ACES;Ace Hardware Indonesia Tbk.;Tetap
3;ADHI;Adhi Karya (Persero) Tbk.;Tetap
4;ADRO;Adaro Energy Indonesia Tbk.;Tetap
5;AGII;Aneka Gas Industri Tbk.;Tetap
6;AGRO;Bank Raya Indonesia Tbk.;Baru
7;AKRA;AKR Corporindo Tbk.;Tetap
8;AMAR;Bank Amar Indonesia Tbk.;Baru
9;AMRT;Sumber Alfaria Trijaya Tbk.;Tetap
10;ANTM;Aneka Tambang Tbk.;Tetap
11;ARTO;Bank Jago Tbk.;Tetap
12;ASII;Astra International Tbk.;Tetap
13;ASSA;Adi Sarana Armada Tbk.;Tetap
14;AVIA;Avia Avian Tbk.;Baru
15;BACA;Bank Capital Indonesia Tbk.;Baru
16;BBCA;Bank Central Asia Tbk.;Tetap
17;BBHI;Allo Bank Indonesia Tbk.;Baru
18;BBNI;Bank Negara Indonesia (Persero) Tbk.;Tetap
19;BBRI;Bank Rakyat Indonesia (Persero) Tbk.;Tetap
20;BBTN;Bank Tabungan Negara (Persero) Tbk.;Tetap
21;BFIN;BFI Finance Indonesia Tbk.;Tetap
22;BMRI;Bank Mandiri (Persero) Tbk.;Tetap
23;BNBA;Bank Bumi Arta Tbk.;Baru
24;BRIS;Bank Syariah Indonesia Tbk.;Baru
25;BRMS;Bumi Resources Minerals Tbk.;Baru
26;BRPT;Barito Pacific Tbk.;Tetap
27;BSDE;Bumi Serpong Damai Tbk.;Tetap
28;BTPS;Bank BTPN Syariah Tbk.;Tetap
29;BUKA;Bukalapak.com Tbk.;Tetap
30;CENT;Centratama Telekomunikasi Indonesia Tbk.;Baru
31;CPIN;Charoen Pokphand Indonesia Tbk;Tetap
32;CTRA;Ciputra Development Tbk.;Tetap
33;DMMX;Digital Mediatama Maxima Tbk.;Baru
34;DOID;Delta Dunia Makmur Tbk.;Tetap
35;DSNG;Dharma Satya Nusantara Tbk.;Tetap
36;ELSA;Elnusa Tbk.;Tetap
37;EMTK;Elang Mahkota Teknologi Tbk.;Tetap
38;ENRG;Energi Mega Persada Tbk.;Baru
39;ERAA;Erajaya Swasembada Tbk.;Tetap
40;ESSA;Surya Esa Perkasa Tbk.;Tetap
41;EXCL;XL Axiata Tbk.;Tetap
42;GGRM;Gudang Garam Tbk.;Tetap
43;GOTO;GoTo Gojek Tokopedia Tbk.;Baru
44;HEAL;Medikaloka Hermina Tbk.;Tetap
45;HMSP;H.M. Sampoerna Tbk.;Tetap
46;HRUM;Harum Energy Tbk.;Tetap
47;ICBP;Indofood CBP Sukses Makmur Tbk.;Tetap
48;INCO;Vale Indonesia Tbk.;Tetap
49;INDF;Indofood Sukses Makmur Tbk.;Tetap
50;INDY;Indika Energy Tbk.;Tetap
51;INKP;Indah Kiat Pulp & Paper Tbk.;Tetap
52;INTP;Indocement Tunggal Prakarsa Tbk.;Tetap
53;IPPE;Indo Pureco Pratama Tbk.;Baru
54;IPTV;MNC Vision Networks Tbk.;Baru
55;IRRA;Itama Ranoraya Tbk.;Baru
56;ISAT;Indosat Tbk.;Tetap
57;ITMG;Indo Tambangraya Megah Tbk.;Tetap
58;JPFA;Japfa Comfeed Indonesia Tbk.;Tetap
59;JSMR;Jasa Marga (Persero) Tbk.;Tetap
60;KLBF;Kalbe Farma Tbk.;Tetap
61;LINK;Link Net Tbk.;Tetap
62;LPKR;Lippo Karawaci Tbk.;Tetap
63;LPPF;Matahari Department Store Tbk.;Tetap
64;LSIP;PP London Sumatra Indonesia Tbk.;Tetap
65;MAPI;Mitra Adiperkasa Tbk.;Tetap
66;MARI;Mahaka Radio Integra Tbk.;Baru
67;MDKA;Merdeka Copper Gold Tbk.;Tetap
68;MEDC;Medco Energi Internasional Tbk.;Tetap
69;MIKA;Mitra Keluarga Karyasehat Tbk.;Tetap
70;MLPL;Multipolar Tbk.;Baru
71;MMLP;Mega Manunggal Property Tbk.;Tetap
72;MNCN;Media Nusantara Citra Tbk.;Tetap
73;MPMX;Mitra Pinasthika Mustika Tbk.;Tetap
74;MTDL;Metrodata Electronics Tbk.;Tetap
75;MTEL;Dayamitra Telekomunikasi Tbk.;Baru
76;PGAS;Perusahaan Gas Negara Tbk.;Tetap
77;PMMP;Panca Mitra Multiperdana Tbk.;Tetap
78;PNLF;Panin Financial Tbk.;Baru
79;PRDA;Prodia Widyahusada Tbk.;Tetap
80;PTBA;Bukit Asam Tbk.;Tetap
81;PTPP;PP (Persero) Tbk.;Tetap
82;PWON;Pakuwon Jati Tbk.;Tetap
83;SAME;Sarana Meditama Metropolitan Tbk.;Baru
84;SCMA;Surya Citra Media Tbk.;Tetap
85;SIDO;Industri Jamu dan Farmasi Sido Muncul Tbk.;Tetap
86;SMDR;Samudera Indonesia Tbk.;Baru
87;SMGR;Semen Indonesia (Persero) Tbk.;Tetap
88;SMRA;Summarecon Agung Tbk.;Tetap
89;SRTG;Saratoga Investama Sedaya Tbk.;Tetap
90;TAPG;Triputra Agro Persada Tbk.;Tetap
91;TBIG;Tower Bersama Infrastructure Tbk.;Tetap
92;TINS;Timah Tbk.;Tetap
93;TKIM;Pabrik Kertas Tjiwi Kimia Tbk.;Tetap
94;TLKM;Telkom Indonesia (Persero) Tbk.;Tetap
95;TOWR;Sarana Menara Nusantara Tbk.;Tetap
96;TPIA;Chandra Asri Petrochemical Tbk.;Tetap
97;UNTR;United Tractors Tbk.;Tetap
98;UNVR;Unilever Indonesia Tbk.;Tetap
99;WIKA;Wijaya Karya (Persero) Tbk.;Tetap
100;WSKT;Waskita Karya (Persero) Tbk.;Tetap
